x,y
http://www.wikidata.org/entity/Q106782024,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5850304,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q79456064,-1000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q7039276,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11345809,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q664952,-1500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1687831,-1500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1921649,-1500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1523,-1300-01-01T00:00:00Z
http://www.wikidata.org/entity/Q9077,-1300-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4451160,-1500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q205372,-1100-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11907179,-1500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q201323,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q298850,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q381049,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q574355,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q577773,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q608224,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q380923,-1109-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1233081,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12165871,-0690-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3622541,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4158092,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6470617,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q7707081,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10360299,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11955246,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16209694,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16332013,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16529771,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q758300,-0988-01-01T00:00:00Z
http://www.wikidata.org/entity/Q100875697,-1300-01-01T00:00:00Z
http://www.wikidata.org/entity/Q81794,-1400-01-01T00:00:00Z
http://www.wikidata.org/entity/Q391340,-1400-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1341017,-0719-01-01T00:00:00Z
http://www.wikidata.org/entity/Q105617191,-1300-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4742404,-1400-01-01T00:00:00Z
http://www.wikidata.org/entity/Q52386242,-0674-01-01T00:00:00Z
http://www.wikidata.org/entity/Q27949603,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q95676027,-0770-01-01T00:00:00Z
http://www.wikidata.org/entity/Q721295,-1000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1813424,-1000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q30929384,-0700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2047257,-0729-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3398151,-1000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11907179,-1400-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11919277,-1400-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3633642,-1000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q48868722,-1500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6691,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q44233,-0800-01-01T00:00:00Z
http://www.wikidata.org/entity/Q575219,-1279-01-01T00:00:00Z
http://www.wikidata.org/entity/Q194064,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11794102,-0998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12166823,-1000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q784528,-1150-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1475386,-1150-01-01T00:00:00Z
http://www.wikidata.org/entity/Q722124,-0749-01-01T00:00:00Z
http://www.wikidata.org/entity/Q52386242,-0699-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1347891,-0750-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1423663,-0750-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16585114,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18058337,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q20056721,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q20099027,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q24017969,-0599-01-01T00:00:00Z
http://www.wikidata.org/entity/Q28169574,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q30348862,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q30929384,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q52384916,-0599-01-01T00:00:00Z
http://www.wikidata.org/entity/Q104726612,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q105686741,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q106043726,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q55524030,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q55526719,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q110897945,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q60836585,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q116265607,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17892,-0599-01-01T00:00:00Z
http://www.wikidata.org/entity/Q76807990,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q84602518,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q574355,-0549-01-01T00:00:00Z
http://www.wikidata.org/entity/Q87598143,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q188332,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q475346,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q943883,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1056125,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1201710,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1230240,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3650862,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5186899,-0549-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1339859,-0553-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6903514,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12265798,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3905866,-0559-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3571357,-0563-01-01T00:00:00Z
http://www.wikidata.org/entity/Q15932818,-0555-01-01T00:00:00Z
http://www.wikidata.org/entity/Q109657129,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2116263,-0570-01-01T00:00:00Z
http://www.wikidata.org/entity/Q37631394,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5978421,-0593-01-01T00:00:00Z
http://www.wikidata.org/entity/Q203266,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q213484,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q235426,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q325026,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q330410,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q332574,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q336115,-0600-01-01T00:00:00Z
